,abr15,mar15,feb15,ene15,dic14,nov14,oct14,sep14,jul14,jun14,may14,abr14,mar14,feb14,ene14,dic13,nov13,oct13,sep13,jul13,jun13,may13,abr13,mar13,feb13,ene13,dic12,nov12,oct12,sep12,jul12,jun12,may12,abr12,mar12,feb12,ene12,dic11,nov11,oct11,sep11,jul11,jun11,may11,abr11,mar11,feb11,ene11,dic10,nov10,oct10,sep10,jul10,jun10,may10,abr10,mar10,feb10,ene10,dic09,nov09,oct09,sep09,jul09,jun09,may09,abr09,mar09,feb09,ene09,dic08,nov08,oct08,sep08,jul08,jun08,may08,abr08,mar08,feb08,ene08,dic07,nov07,oct07,sep07,jul07,jun07,may07,abr07,mar07,feb07,ene07,dic06,nov06,oct06,sep06,jul06,jun06,may06,abr06,mar06,feb06,ene06,dic05,nov05,oct05,sep05,jul05,jun05,may05,abr05,mar05,feb05,ene05,dic04,nov04,oct04,sep04,jul04,jun04,may04,abr04,mar04,feb04,ene04,dic03,nov03,oct03,sep03,jul03,jun03,may03,abr03,mar03,feb03,ene03,dic02,nov02,oct02,sep02,jul02,jun02,may02,abr02,mar02,feb02,ene02,dic01,nov01,sep01,jul01,jun01,may01,abr01,mar01,feb01,ene01,dic00,nov00,oct00,sep00,mar99,jul98,oct97,abr97,mar97,nov96,mar96,feb96,nov95,sep95,abr95,feb95,ene95,dic94,sep94,sep93,jun88,dic86,sep86,oct85,may85,orden
El paro,81.5,80.3,78.6,79.4,75.5,77.0,76.0,75.3,77.0,76.8,80.8,80.3,82.3,81.1,78.5,77.0,77.7,77.4,77.3,80.9,80.5,82.4,80.7,81.6,79.9,81.1,77.1,80.8,77.9,79.3,78.6,77.8,81.7,81.7,84.0,84.0,83.3,82.0,83.0,81.0,80.4,81.3,82.6,84.1,82.8,81.8,83.9,82.4,78.6,79.5,81.1,78.4,78.0,75.9,79.9,79.7,82.9,81.8,82.7,79.0,78.4,73.0,76.4,74.3,73.7,77.3,75.7,76.1,75.2,75.3,72.5,71.5,64.9,62.2,56.1,53.8,52.5,52.0,45.8,44.7,43.8,38.6,40.0,37.4,35.0,36.5,38.5,42.2,37.5,38.1,40.5,37.6,42.1,40.1,40.7,42.1,47.0,43.2,46.3,49.8,52.7,49.0,49.8,46.6,51.5,49.0,53.0,52.0,54.9,53.1,54.5,57.7,56.8,58.2,53.9,57.3,57.1,58.3,56.9,59.3,59.0,56.8,51.7,61.0,60.4,57.9,60.2,57.8,58.4,61.2,56.5,63.6,63.4,56.8,60.0,58.8,61.1,64.3,58.7,60.2,63.0,63.1,65.3,65.7,60.6,58.7,61.9,62.9,57.6,61.0,59.4,59.6,59.5,63.4,57.1,63.3,56.0,59.9,63.1,56.9,59.8,75.9,81.0,85.3,87.6,81.3,83.1,78.7,86.0,77.6,76.3,79.9,76.6,84.9,82.6,80.0,89.6,91.0,92.0,94.1,93.1,94.4,1.0
La corrupción y el fraude,48.6,50.8,48.5,55.5,60.0,63.8,42.3,42.7,41.5,38.8,35.7,36.3,41.0,44.2,39.5,37.6,31.8,31.3,37.1,37.4,32.5,30.7,39.3,44.5,40.0,17.7,17.2,9.5,9.2,8.5,12.2,12.4,9.3,8.7,12.2,8.6,12.3,6.0,5.4,5.5,4.4,7.4,6.9,5.0,5.1,4.6,2.9,2.4,2.7,3.3,4.4,3.1,2.7,4.5,4.4,9.4,3.2,2.8,2.9,3.9,10.4,5.2,1.4,1.6,1.9,1.9,1.3,2.2,1.2,0.4,0.7,0.8,1.0,0.4,0.8,1.3,0.5,0.4,0.2,0.7,0.7,0.8,0.5,0.6,0.7,2.3,1.6,2.8,1.7,1.2,1.5,1.9,2.9,3.1,2.0,1.0,1.0,1.4,1.6,2.3,0.9,0.4,0.6,0.6,0.4,0.4,0.4,0.4,0.3,0.4,0.7,0.6,0.5,0.3,0.7,0.4,0.6,0.4,0.7,0.8,0.7,0.4,0.4,1.2,0.6,0.6,0.7,0.9,1.3,2.3,2.7,0.1,0.3,0.3,0.3,0.6,0.8,0.6,0.8,0.4,0.8,1.0,0.7,2.4,1.4,0.9,2.0,1.3,2.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,2.1,3.0,6.2,0.0,7.2,12.5,20.9,22.1,19.8,26.3,27.2,33.5,31.6,17.6,7.6,2.5,0.0,0.0,0.0,0.0,1.0
Los problemas de índole económica,26.9,24.9,24.9,24.5,24.9,25.5,27.0,28.8,28.0,28.4,28.6,28.0,28.2,28.3,30.5,29.7,31.1,32.7,32.5,32.0,32.2,34.9,35.5,34.4,35.4,38.9,39.5,42.7,43.4,49.4,46.5,46.3,51.0,52.8,49.2,52.3,53.7,50.4,48.2,51.3,49.6,49.6,47.0,46.6,47.3,51.3,51.6,53.1,52.0,47.9,47.8,48.2,51.3,53.0,50.9,46.8,45.3,47.8,47.0,47.0,45.9,46.8,48.4,48.5,48.3,48.7,54.1,52.0,54.4,51.9,54.5,57.9,54.7,54.2,59.9,58.3,51.9,48.4,39.4,36.4,39.2,32.9,29.4,24.5,21.8,16.5,15.5,15.5,18.0,15.7,15.7,18.3,15.5,15.6,17.1,15.6,19.0,19.4,17.3,19.7,16.0,15.0,17.2,16.7,17.1,21.5,16.4,17.6,17.4,17.3,15.4,11.7,9.9,11.3,11.2,12.0,14.3,11.5,12.1,11.1,11.9,9.9,7.9,10.6,12.5,11.7,13.1,12.7,10.7,10.5,9.9,8.4,11.1,9.7,9.2,11.0,10.9,12.8,10.4,9.4,8.8,9.2,8.5,8.7,7.6,8.5,10.0,10.5,11.8,10.3,9.5,9.0,7.6,9.2,5.5,6.4,8.2,11.7,12.9,15.1,14.2,8.7,9.6,12.8,10.8,11.1,13.1,20.5,11.7,17.5,20.8,23.3,29.6,26.5,24.3,24.6,35.8,10.1,19.8,23.1,27.3,28.0,1.0
"Los políticos en general, los partidos políticos y la política",19.6,20.0,20.1,21.8,21.8,23.3,23.2,25.8,26.4,28.0,25.6,26.0,26.0,24.2,26.9,26.2,29.7,28.6,28.2,27.6,30.7,29.7,29.4,31.4,29.7,30.3,29.8,30.2,30.5,26.9,25.4,24.3,22.5,18.1,18.1,19.4,17.8,19.7,22.6,23.6,23.3,24.0,24.7,22.1,21.5,20.2,17.8,20.6,19.3,18.2,18.1,19.8,21.7,20.7,18.8,19.4,15.8,16.8,14.9,13.6,16.6,13.3,12.0,10.8,12.9,10.1,8.8,10.0,9.3,8.9,8.0,6.8,7.1,7.6,6.0,6.9,7.1,7.2,6.3,7.2,8.9,10.0,10.3,10.2,9.2,8.9,9.5,11.1,11.9,16.0,11.3,12.4,8.7,10.1,10.0,8.9,10.0,9.3,8.2,9.9,9.1,10.2,10.1,9.5,9.3,9.8,6.0,6.4,7.3,7.8,6.7,7.4,7.6,8.3,10.5,8.4,6.5,6.9,6.5,6.3,4.8,5.3,6.4,9.5,8.4,9.0,8.6,8.0,10.7,11.6,10.7,8.1,11.3,9.9,10.9,8.2,9.0,6.5,5.7,6.5,5.1,7.1,7.0,5.4,4.6,5.1,4.8,7.0,6.2,5.4,5.2,5.7,5.1,5.8,5.4,5.3,4.8,4.8,5.9,4.9,5.4,6.3,7.3,8.5,6.9,14.4,8.2,14.7,6.7,19.1,21.5,16.6,15.2,9.9,0.0,7.3,2.8,1.6,5.7,3.2,5.8,4.7,1.0
La sanidad,11.5,11.8,12.1,10.2,10.6,8.6,11.8,11.5,11.3,11.5,10.4,10.4,10.2,10.8,11.6,10.9,13.0,13.4,10.6,10.3,9.3,10.0,7.9,10.1,10.5,12.1,12.9,11.4,10.1,9.1,10.4,8.6,10.6,8.6,9.3,7.1,8.1,9.3,7.7,7.8,6.1,4.3,4.4,4.1,3.7,3.4,2.9,3.6,3.0,3.0,3.9,3.4,4.0,3.2,3.3,3.2,4.1,4.3,3.7,4.8,5.6,4.8,4.9,4.1,3.8,4.1,4.8,5.3,4.7,4.5,2.9,3.4,4.4,3.6,3.8,4.1,3.6,4.8,4.6,4.4,5.5,4.2,3.7,4.0,3.9,4.6,4.1,5.6,5.0,4.0,4.1,4.2,4.5,5.4,3.9,3.7,4.1,5.0,4.1,4.8,4.8,4.0,5.2,5.8,5.5,6.8,6.4,4.2,4.5,6.0,5.6,5.7,6.5,6.5,6.2,5.8,5.0,4.6,6.2,5.0,4.7,5.3,3.0,6.3,5.6,5.0,6.0,4.7,4.3,3.5,3.6,5.4,5.8,3.9,3.0,3.5,2.9,3.8,3.1,2.7,3.9,3.3,3.4,4.2,3.4,3.6,4.0,4.4,6.2,3.9,3.9,3.9,3.8,3.9,3.2,3.1,4.3,3.2,4.7,5.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,7.5,0.0,0.0,0.0,0.0,0.0,1.0
Los problemas de índole social,10.9,10.4,10.5,9.8,10.8,8.9,7.8,7.7,10.1,9.0,7.9,9.4,7.4,8.4,7.5,8.0,5.9,7.4,5.3,5.3,4.8,4.4,4.7,3.8,3.6,5.2,5.0,4.0,4.6,3.7,3.7,4.9,3.2,3.6,4.5,4.8,4.7,5.2,3.2,3.8,3.6,3.8,3.7,3.7,3.5,2.8,3.0,3.9,4.9,3.9,3.2,3.0,2.5,2.5,2.7,2.9,2.9,3.3,3.3,3.3,3.6,3.2,3.6,3.8,3.4,3.9,3.3,3.2,2.8,3.5,3.5,3.1,3.2,3.0,2.6,2.3,3.3,3.6,4.0,2.8,4.4,5.2,3.8,4.9,4.8,3.7,2.9,4.4,4.4,3.7,3.7,3.3,5.0,4.0,4.2,3.7,3.9,3.4,3.7,3.2,3.1,3.7,3.2,6.4,4.7,4.9,4.8,3.7,3.3,3.8,3.9,5.2,3.5,3.7,4.7,5.5,3.4,4.1,2.5,3.4,3.7,3.1,2.8,3.8,4.6,4.8,3.8,4.5,4.8,3.3,3.1,3.4,3.7,4.0,4.1,2.6,4.2,4.3,3.9,3.5,3.4,3.4,3.6,3.7,3.3,3.3,3.7,6.4,5.9,3.8,3.1,3.7,4.7,4.0,3.0,4.7,3.8,5.8,5.1,3.8,4.1,6.6,5.1,9.6,13.0,13.5,13.0,5.2,4.2,5.9,4.7,3.2,11.8,12.5,3.9,3.4,1.6,3.5,6.9,6.4,4.0,2.9,1.0
La educación,9.0,9.2,9.5,7.1,7.5,7.7,9.1,9.6,8.6,7.3,8.7,9.0,8.7,8.6,7.4,8.4,11.8,9.1,9.6,8.8,6.6,6.3,4.8,6.1,7.8,5.8,7.6,6.7,8.3,6.6,7.1,7.7,7.3,7.6,9.9,6.3,5.6,7.2,5.7,6.2,7.1,4.4,3.9,5.6,5.2,4.3,4.9,4.0,4.9,5.2,5.1,5.4,3.8,3.3,4.9,4.9,4.8,4.0,4.4,6.2,5.9,6.0,7.9,4.7,6.2,5.0,4.8,4.2,5.9,3.2,3.9,4.5,4.6,5.3,4.1,3.9,3.3,4.1,5.3,5.6,4.4,5.6,5.0,4.2,4.5,3.9,3.7,3.6,4.2,3.7,3.3,3.0,3.3,7.1,3.7,4.2,3.3,3.1,3.2,4.1,4.0,4.1,4.1,6.0,10.9,5.2,5.5,4.2,4.8,4.3,3.9,5.5,4.4,4.3,3.6,3.7,4.2,4.6,3.7,3.8,3.9,4.0,3.1,4.0,4.1,3.2,3.7,3.7,3.6,3.4,3.3,3.8,3.9,2.7,2.6,2.6,2.7,4.2,3.5,3.1,3.0,4.0,4.3,5.2,5.5,5.1,3.6,5.5,4.6,3.7,2.6,3.1,3.4,4.5,3.0,2.4,2.4,3.3,3.7,4.5,3.9,4.7,3.1,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,10.9,4.5,9.5,6.9,7.2,1.0
Otras respuestas,5.1,4.6,3.8,4.6,3.4,5.9,3.4,4.9,5.3,3.9,5.3,5.2,4.6,4.8,5.0,4.7,5.2,5.8,5.9,5.6,5.8,6.4,3.5,5.2,5.0,6.5,6.1,5.0,5.6,6.2,5.3,5.5,4.1,5.5,4.6,3.7,3.9,3.3,4.2,3.1,4.9,3.5,3.6,3.3,3.4,4.1,3.2,3.7,2.8,2.7,3.2,3.0,2.9,5.0,3.5,4.0,3.7,3.3,3.9,3.3,0.2,2.7,4.1,2.6,3.7,4.2,3.5,2.8,3.1,2.8,4.2,3.5,3.6,2.3,2.6,3.9,3.4,3.4,4.1,3.5,3.5,3.9,3.1,4.5,4.2,3.3,4.0,2.3,3.4,4.4,4.3,3.1,3.1,3.7,4.3,4.9,3.9,4.2,4.3,3.7,4.5,4.8,4.2,4.0,3.7,6.6,4.8,3.3,4.5,4.1,3.7,4.3,3.4,4.0,3.9,3.6,4.3,3.7,3.9,3.4,3.4,4.3,3.8,3.1,4.3,5.2,4.1,2.9,3.3,3.1,3.4,2.8,3.4,2.4,2.7,3.1,2.2,2.5,3.4,2.3,4.9,2.9,3.1,3.1,3.6,3.6,3.1,2.3,3.3,3.0,3.5,3.9,3.0,4.3,2.8,1.6,4.5,4.9,2.4,5.3,0.6,0.9,3.1,5.3,14.8,3.4,11.5,9.3,0.8,1.6,11.2,7.1,5.9,6.7,15.7,20.4,6.1,10.7,16.2,20.0,20.6,11.9,1.0
Los recortes,3.5,3.9,3.6,3.4,2.8,4.1,4.8,3.6,3.7,3.4,4.8,3.8,3.5,4.1,4.0,4.8,5.7,5.2,4.6,3.8,6.2,4.8,3.9,4.8,4.2,5.4,6.6,5.5,6.7,4.8,5.0,4.4,5.1,3.3,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Los problemas relacionados con la calidad del empleo,3.0,3.4,3.9,3.7,4.9,2.4,4.8,5.0,2.5,4.7,3.0,2.2,2.3,2.3,2.3,1.8,1.3,2.0,2.0,1.5,1.8,1.3,1.4,1.1,1.1,1.6,1.8,1.4,2.6,2.3,2.3,2.7,2.1,2.2,3.6,3.3,2.2,2.5,2.3,2.3,2.7,2.0,3.0,2.3,3.3,2.8,3.1,2.7,1.9,2.3,3.4,4.0,3.2,3.4,2.9,2.4,3.1,3.0,3.2,2.6,2.8,2.7,2.9,2.9,5.0,3.0,2.9,3.1,3.3,3.9,2.7,4.0,5.4,6.4,8.4,8.6,8.7,8.2,9.4,11.0,12.3,12.3,12.2,13.7,13.5,12.7,12.4,9.5,14.5,9.0,9.8,9.8,9.7,9.9,10.7,7.8,8.8,9.3,7.2,10.0,9.3,7.3,8.4,7.9,7.9,8.0,8.1,6.0,7.5,7.1,7.1,3.6,3.4,4.9,3.2,3.7,3.6,2.7,4.6,4.4,3.8,5.0,3.8,4.6,4.0,3.5,3.7,3.4,2.5,3.6,2.6,3.0,2.6,2.8,1.6,2.5,2.1,2.7,2.7,2.5,3.1,4.0,2.8,2.6,1.8,2.0,1.6,1.1,1.4,2.1,1.8,2.7,1.8,2.5,1.9,1.8,2.9,2.3,1.4,1.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.8,0.8,1.8,0.7,1.0
La inseguridad ciudadana,2.7,2.2,2.2,2.6,3.4,1.7,2.9,3.2,2.5,1.6,2.8,3.1,2.0,2.3,2.3,3.4,1.7,2.6,2.8,2.8,3.0,2.6,2.5,2.8,2.3,2.9,2.8,2.5,3.1,3.1,4.0,3.9,4.5,5.4,6.3,6.6,5.7,5.6,5.8,6.4,7.4,6.7,7.7,7.9,8.0,6.8,9.4,7.3,8.1,8.3,7.3,7.5,8.1,7.3,9.7,9.3,9.2,8.4,8.1,11.8,11.4,9.9,12.8,10.3,12.6,11.4,11.1,13.1,11.0,11.7,11.1,11.4,10.2,11.5,10.0,10.7,12.3,12.2,14.9,18.5,16.4,14.4,14.5,15.7,12.9,13.5,13.6,14.6,16.7,14.9,15.9,18.9,21.1,20.5,16.1,16.0,21.0,24.3,26.3,17.7,16.6,19.1,23.3,21.5,14.4,13.4,12.1,14.6,15.1,11.3,14.2,16.0,16.3,16.7,17.7,17.9,16.6,16.5,18.7,18.1,17.3,15.6,15.7,21.2,23.6,21.4,23.0,27.5,25.4,23.4,29.1,26.1,23.2,18.5,18.5,25.5,17.5,22.0,24.8,22.0,19.1,16.8,22.4,17.7,19.1,21.8,18.1,14.2,14.9,8.3,9.4,13.7,8.9,9.5,9.3,8.0,8.4,9.4,9.2,9.5,10.4,15.8,13.0,14.6,19.5,11.8,15.4,28.6,13.1,14.0,11.1,8.8,12.7,10.3,16.5,10.8,17.3,36.3,30.0,30.9,28.0,32.9,1.0
