,abr15,mar15,feb15,ene15,dic14,nov14,oct14,sep14,jul14,jun14,may14,abr14,mar14,feb14,ene14,dic13,nov13,oct13,sep13,jul13,jun13,may13,abr13,mar13,feb13,ene13,dic12,nov12,oct12,sep12,jul12,jun12,may12,abr12,mar12,feb12,ene12,dic11,nov11,oct11,sep11,jul11,jun11,may11,abr11,mar11,feb11,ene11,dic10,nov10,oct10,sep10,jul10,jun10,may10,abr10,mar10,feb10,ene10,dic09,nov09,oct09,sep09,jul09,jun09,may09,abr09,mar09,feb09,ene09,dic08,nov08,oct08,sep08,jul08,jun08,may08,abr08,mar08,feb08,ene08,dic07,nov07,oct07,sep07,jul07,jun07,may07,abr07,mar07,feb07,ene07,dic06,nov06,oct06,sep06,jul06,jun06,may06,abr06,mar06,feb06,ene06,dic05,nov05,oct05,sep05,jul05,jun05,may05,abr05,mar05,feb05,ene05,dic04,nov04,oct04,sep04,jul04,jun04,may04,abr04,mar04,feb04,ene04,dic03,nov03,oct03,sep03,jul03,jun03,may03,abr03,mar03,feb03,ene03,dic02,nov02,oct02,sep02,jul02,jun02,may02,abr02,mar02,feb02,ene02,dic01,nov01,sep01,jul01,jun01,may01,abr01,mar01,feb01,ene01,dic00,nov00,oct00,sep00,mar99,jul98,oct97,abr97,mar97,nov96,mar96,feb96,nov95,sep95,abr95,feb95,ene95,dic94,sep94,sep93,jun88,dic86,sep86,oct85,may85,orden
El funcionamiento de los servicios públicos,0.5,0.6,0.6,0.3,0.3,0.4,0.5,0.5,0.4,0.7,0.4,0.6,0.2,0.6,0.9,0.5,0.5,0.6,0.8,0.6,0.6,0.9,0.5,0.8,0.3,0.7,0.4,0.4,0.4,0.4,0.4,0.5,0.8,0.5,0.7,0.4,0.2,0.4,0.7,0.6,0.6,0.2,0.3,0.4,0.3,0.2,0.4,0.6,0.2,0.3,0.7,0.5,0.3,0.5,0.3,0.4,0.2,0.4,0.3,0.3,0.7,0.4,0.4,0.4,0.2,0.1,0.1,0.2,0.3,0.1,0.3,0.5,0.5,0.2,0.3,0.2,0.2,0.5,0.4,0.3,0.4,0.4,0.3,0.2,0.4,0.4,0.2,0.4,0.7,0.2,0.4,0.2,0.2,0.6,0.2,0.3,0.5,0.4,0.4,0.3,0.4,0.4,0.2,0.4,0.2,0.3,0.5,0.1,0.1,0.5,0.2,0.2,0.6,0.4,0.6,0.4,0.4,0.5,0.4,0.3,0.4,0.4,0.4,0.5,0.8,0.4,0.7,0.6,0.4,0.2,0.1,0.7,0.8,0.3,0.3,0.1,0.2,0.3,0.3,0.4,0.3,0.5,0.1,0.6,0.0,0.2,0.2,0.0,0.4,1.1,1.7,1.1,0.8,1.9,0.6,0.6,0.5,1.2,0.9,0.7,1.2,10.4,9.1,12.6,14.9,12.4,19.6,12.1,11.7,8.5,9.4,7.6,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
La violencia contra la mujer,0.4,0.2,0.3,0.4,1.0,0.4,0.5,1.2,0.4,0.5,0.9,0.4,0.7,0.4,0.3,0.6,0.3,0.2,0.4,0.7,1.2,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.1,0.5,0.6,0.4,0.6,0.5,0.8,1.2,1.3,1.1,0.8,1.0,1.0,1.4,1.6,1.3,1.2,1.2,1.8,1.4,1.4,1.7,0.9,0.8,1.4,1.2,1.7,2.6,1.8,1.2,1.9,2.7,1.5,1.3,1.7,1.7,1.4,1.8,2.0,2.4,2.3,1.8,2.5,2.0,2.5,2.0,2.1,1.6,2.3,3.3,3.8,4.9,2.2,3.0,5.4,1.9,2.9,2.4,2.6,2.1,2.7,1.9,3.9,2.3,2.8,4.1,2.5,2.5,1.6,2.0,1.8,2.8,4.3,3.7,3.5,3.0,2.5,1.7,3.0,2.5,3.8,3.7,2.6,6.3,3.3,4.8,4.4,5.4,5.1,3.7,8.0,8.0,6.7,6.1,11.7,6.7,3.3,3.0,3.3,2.7,1.7,2.4,3.2,2.0,1.0,1.4,2.2,2.5,1.9,1.9,4.2,3.4,0.9,1.4,2.1,2.6,1.9,2.2,2.1,3.3,4.5,0.6,0.8,1.9,3.5,2.1,4.4,2.0,2.3,2.3,3.5,3.1,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
El fraude fiscal,0.2,0.2,0.4,0.4,0.2,0.4,0.5,0.5,0.8,0.4,0.7,0.6,0.6,0.8,0.1,0.4,0.6,0.3,0.3,0.6,0.8,0.6,1.0,0.4,0.4,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Los problemas medioambientales,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.1,0.2,0.2,0.1,0.2,0.0,0.1,0.1,0.2,0.3,0.0,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.6,0.2,0.3,0.2,0.4,0.3,0.2,0.5,0.2,0.1,0.3,0.2,0.6,0.4,0.4,0.5,0.8,0.3,0.4,0.6,0.4,0.2,0.6,0.6,0.4,0.4,0.5,0.9,0.4,0.6,1.1,0.9,0.8,0.9,0.8,0.8,0.6,0.4,0.6,0.8,0.6,0.5,0.9,1.2,1.0,1.2,1.8,1.7,2.8,2.1,2.2,1.3,1.6,3.7,1.7,1.4,2.7,1.7,1.6,2.4,2.1,2.4,1.5,2.1,1.6,1.7,2.4,1.7,2.1,1.3,1.1,2.0,3.0,1.0,1.9,1.0,2.9,5.4,5.1,2.7,1.8,1.4,1.2,1.6,0.6,0.5,0.7,1.2,0.6,1.5,0.8,0.6,0.8,0.2,0.7,0.8,0.9,0.8,0.9,1.1,0.8,1.3,0.9,0.8,1.1,1.2,3.0,3.8,3.3,0.6,1.2,0.6,0.6,0.9,1.6,0.8,1.0,1.2,1.3,1.0,1.6,1.7,2.0,1.6,2.3,2.6,2.1,1.6,2.0,1.9,1.7,3.1,9.3,2.1,0.0,1.4,5.7,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,3.5,1.1,0.6,0.6,0.5,1.3,1.1,1.0
Las infraestructuras,0.2,0.2,0.1,0.2,0.1,0.1,0.0,0.0,0.1,0.2,0.0,0.0,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.2,0.4,0.2,0.1,0.5,0.1,0.2,0.4,0.2,0.3,0.3,0.2,0.4,0.2,0.2,0.1,0.4,0.6,0.5,0.4,0.4,0.5,0.4,0.6,0.6,0.2,0.6,0.3,0.6,0.3,0.5,0.5,0.8,0.6,0.6,0.6,0.4,0.5,0.7,0.7,0.4,0.5,0.4,0.6,0.7,0.8,0.8,0.3,0.7,0.8,0.7,1.1,0.7,0.7,0.7,0.7,1.3,1.1,2.0,2.3,1.0,1.1,1.6,1.1,1.5,0.8,0.5,0.6,0.8,0.9,1.6,0.9,1.7,1.0,1.0,1.2,0.6,0.8,0.7,1.2,0.5,0.7,0.8,1.5,0.8,1.1,1.2,0.9,2.2,1.2,1.1,0.9,1.8,1.3,2.4,0.8,0.8,1.0,0.8,1.0,2.5,1.7,1.5,1.4,1.3,1.5,1.9,1.6,1.0,0.8,1.0,1.0,0.8,1.2,1.0,0.8,1.5,0.7,0.9,1.0,1.2,0.8,1.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.8,0.9,0.3,1.2,0.4,1.0
"Los problemas de la agricultura, ganadería y pesca",0.2,0.1,0.2,0.1,0.3,0.1,0.1,0.2,0.4,0.1,0.0,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.1,0.5,0.2,0.2,0.4,0.1,0.2,0.4,0.4,0.2,0.0,0.1,0.1,0.3,0.2,0.4,0.5,0.3,0.2,0.4,0.3,0.4,0.2,0.3,0.8,0.4,0.4,0.4,0.4,0.2,0.5,0.2,0.2,0.6,0.3,0.2,0.7,0.2,0.4,0.4,0.8,0.8,0.7,0.6,0.6,0.3,0.7,0.6,0.5,0.2,0.3,0.3,0.3,0.3,0.2,0.1,0.3,0.9,1.0,0.7,0.6,0.2,0.3,0.3,0.3,0.4,0.4,0.6,0.4,0.6,0.4,0.5,0.5,0.4,0.3,0.5,0.9,0.3,0.3,0.3,0.5,0.6,1.0,0.5,0.4,0.6,0.7,0.8,0.6,0.8,0.8,1.0,0.8,1.0,1.4,0.8,1.0,0.8,1.0,0.6,0.9,0.8,0.7,0.5,0.3,0.2,0.4,0.5,0.6,0.4,0.7,0.8,0.6,0.4,0.6,0.6,0.7,1.1,0.6,0.4,0.5,0.6,1.0,0.6,0.3,0.4,0.5,0.5,0.5,0.3,0.4,0.6,0.8,0.4,0.6,0.6,0.2,0.2,0.7,0.7,0.7,0.5,1.6,2.0,0.0,0.0,0.0,0.0,0.0,1.1,1.2,5.7,1.6,4.3,1.0,5.0,0.0,0.0,3.8,3.2,1.8,1.9,6.2,3.4,1.0
Las hipotecas,0.2,0.0,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.4,0.2,0.2,0.3,0.2,0.2,0.4,0.2,0.4,0.4,0.3,0.6,0.4,0.4,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Las drogas,0.1,0.3,0.3,0.1,0.2,0.3,0.3,0.3,0.2,0.2,0.1,0.3,0.1,0.2,0.2,0.5,0.1,0.2,0.4,0.3,0.3,0.2,0.0,0.1,0.3,0.2,0.5,0.3,0.4,0.4,0.2,0.4,0.5,0.4,0.5,0.6,0.6,0.6,0.4,0.6,0.8,0.5,0.7,0.9,0.9,0.6,0.8,0.6,1.4,1.1,1.3,1.0,0.7,0.6,1.4,1.1,0.8,1.0,1.1,1.9,1.2,1.5,1.5,1.7,2.1,1.6,1.7,1.5,1.3,1.5,1.6,2.3,2.4,1.9,2.3,2.0,1.8,1.6,2.9,3.0,2.5,3.5,4.1,4.1,4.1,4.8,5.3,4.8,4.7,3.9,5.5,3.7,6.3,5.2,6.0,4.8,5.8,6.1,5.4,4.8,6.0,6.6,5.4,6.5,5.6,7.5,6.4,6.7,6.5,6.5,6.8,8.0,6.5,8.5,10.0,10.6,9.0,9.5,9.2,9.1,7.2,5.9,5.7,8.9,10.0,10.9,12.0,9.9,12.0,13.0,14.3,9.2,9.1,7.2,9.1,9.8,9.4,9.9,11.8,11.3,13.1,11.3,15.8,17.4,23.2,15.6,14.5,15.4,14.8,14.3,16.1,19.4,18.0,17.5,13.3,14.8,12.3,15.2,14.9,14.6,14.7,25.3,27.5,29.2,28.9,23.5,26.5,19.4,19.2,16.0,16.4,17.6,24.5,18.7,28.7,25.9,35.8,49.0,26.3,10.5,19.3,17.5,1.0
La monarquía,0.1,0.1,0.2,0.3,0.0,0.3,0.2,0.2,0.4,1.1,0.2,0.4,0.4,0.5,0.6,0.4,0.3,0.4,0.2,0.4,0.7,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Subida de tarifas energéticas,0.1,0.1,0.2,0.1,0.0,0.2,0.1,0.1,0.0,0.0,0.2,0.3,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ninguno,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.4,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.2,0.0,0.1,0.1,0.1,0.2,0.3,0.1,0.2,0.1,0.2,0.3,0.1,0.1,0.4,0.0,0.2,0.4,0.2,0.1,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.1,0.4,0.2,0.2,0.1,0.4,0.2,0.4,0.2,0.5,0.3,0.4,0.3,0.2,0.3,0.3,0.3,0.2,0.4,0.6,0.1,0.2,0.4,0.5,0.3,0.4,0.7,0.7,1.0,0.6,0.4,0.6,0.2,0.1,0.2,0.3,0.2,0.2,0.1,0.8,0.6,0.1,0.1,0.7,0.5,0.5,0.3,0.2,0.2,0.2,0.4,0.4,0.2,0.2,0.5,0.3,0.1,0.5,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.1,0.2,0.2,0.1,0.1,0.0,0.0,2.4,1.4,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Los problemas relacionados con la mujer,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.4,0.1,0.0,0.0,0.1,0.2,0.0,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.2,0.4,0.2,0.2,0.2,0.2,0.1,0.4,0.4,0.3,0.1,0.5,0.1,0.2,0.1,0.2,0.2,0.1,0.6,0.0,0.2,0.2,0.1,0.3,0.4,0.2,0.2,0.4,0.4,0.7,0.2,0.2,0.3,0.2,0.1,0.3,0.2,0.4,0.5,0.6,1.0,0.7,0.4,0.3,0.5,0.2,0.3,0.5,0.4,0.6,0.4,0.6,0.9,0.4,0.6,0.4,0.5,0.2,0.4,0.3,0.5,0.5,0.3,0.4,0.5,0.4,0.5,0.4,0.2,0.6,0.2,0.3,0.5,0.4,0.4,0.3,0.2,0.0,0.0,0.2,0.4,0.3,0.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Las preocupaciones y situaciones personales,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.3,0.1,0.1,0.2,0.1,0.1,0.0,0.0,0.1,0.1,0.2,0.1,0.2,0.2,0.0,0.2,0.2,0.3,0.2,0.3,0.2,0.3,0.2,0.2,0.1,0.2,0.1,0.1,0.2,0.4,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.4,0.1,0.4,0.1,0.0,0.1,0.1,0.3,0.0,0.1,0.1,0.2,0.1,0.1,0.2,0.4,0.1,0.1,0.1,0.2,0.4,0.2,0.7,0.3,0.3,0.2,0.3,0.1,0.0,0.3,0.1,0.2,0.2,0.1,0.2,0.3,0.6,0.4,0.2,0.2,0.2,0.2,0.6,0.3,0.1,0.4,0.4,0.2,0.4,0.6,0.2,0.3,0.3,0.3,0.2,0.6,0.2,0.4,0.4,0.6,0.3,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.1,0.3,0.2,0.2,0.3,0.2,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
La reforma laboral,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.2,0.2,0.1,0.0,0.3,0.2,0.4,0.3,0.0,0.2,0.3,0.2,0.4,0.2,0.2,0.4,0.5,0.2,0.6,0.9,0.4,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
