,abr15,mar15,feb15,ene15,dic14,nov14,oct14,sep14,jul14,jun14,may14,abr14,mar14,feb14,ene14,dic13,nov13,oct13,sep13,jul13,jun13,may13,abr13,mar13,feb13,ene13,dic12,nov12,oct12,sep12,jul12,jun12,may12,abr12,mar12,feb12,ene12,dic11,nov11,oct11,sep11,jul11,jun11,may11,abr11,mar11,feb11,ene11,dic10,nov10,oct10,sep10,jul10,jun10,may10,abr10,mar10,feb10,ene10,dic09,nov09,oct09,sep09,jul09,jun09,may09,abr09,mar09,feb09,ene09,dic08,nov08,oct08,sep08,jul08,jun08,may08,abr08,mar08,feb08,ene08,dic07,nov07,oct07,sep07,jul07,jun07,may07,abr07,mar07,feb07,ene07,dic06,nov06,oct06,sep06,jul06,jun06,may06,abr06,mar06,feb06,ene06,dic05,nov05,oct05,sep05,jul05,jun05,may05,abr05,mar05,feb05,ene05,dic04,nov04,oct04,sep04,jul04,jun04,may04,abr04,mar04,feb04,ene04,dic03,nov03,oct03,sep03,jul03,jun03,may03,abr03,mar03,feb03,ene03,dic02,nov02,oct02,sep02,jul02,jun02,may02,abr02,mar02,feb02,ene02,dic01,nov01,sep01,jul01,jun01,may01,abr01,mar01,feb01,ene01,dic00,nov00,oct00,sep00,mar99,jul98,oct97,abr97,mar97,nov96,mar96,feb96,nov95,sep95,abr95,feb95,ene95,dic94,sep94,sep93,jun88,dic86,sep86,oct85,may85,orden
"Las guerras en general (Balcanes, Irán, Afganistan, etc.)",0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.2,0.2,0.1,0.2,0.1,0.0,0.0,0.0,0.1,0.3,0.1,0.2,0.2,0.1,0.0,0.1,0.1,0.2,0.0,0.2,0.2,0.0,0.1,0.3,0.6,0.3,0.2,0.2,0.1,0.9,0.6,0.2,0.2,0.2,0.4,0.4,0.4,0.3,0.4,0.5,0.2,0.3,0.3,0.3,0.3,0.4,0.6,0.2,0.3,0.3,0.2,0.8,1.1,1.7,1.1,2.0,2.0,2.3,3.1,2.9,3.2,5.4,3.9,2.2,2.5,3.4,2.4,2.2,3.0,2.0,1.6,4.3,13.9,37.3,25.9,1.0,0.2,0.3,0.2,0.5,0.3,0.1,0.3,0.8,0.7,0.4,0.6,1.7,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
El racismo,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.2,0.0,0.1,0.1,0.2,0.2,0.2,0.4,0.3,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.1,0.5,0.4,0.3,0.3,0.4,0.2,0.4,0.4,0.2,0.5,0.2,0.4,0.2,0.3,0.4,0.7,1.2,0.5,0.2,0.4,0.2,0.2,0.6,0.4,0.7,0.2,0.5,0.4,0.2,0.1,0.2,0.3,0.6,0.5,0.9,0.3,0.7,0.5,0.2,0.4,0.4,0.5,0.6,1.1,1.0,1.0,0.5,1.1,1.1,0.8,0.6,0.7,0.6,0.8,0.5,0.5,0.7,0.4,0.6,0.9,0.9,0.8,0.6,0.5,0.6,0.5,0.8,0.6,0.4,0.3,0.6,0.5,0.8,1.0,0.6,1.0,1.1,1.4,1.3,0.8,0.7,1.1,1.3,1.0,1.2,1.5,1.3,1.1,1.4,0.9,1.1,1.0,1.2,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.0
La salud,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.1,0.4,0.4,0.3,0.3,0.2,0.0,0.2,0.1,0.2,0.3,0.2,0.2,0.1,0.2,0.1,0.2,0.3,0.4,0.1,0.3,0.3,0.1,0.2,0.2,0.2,0.1,0.2,0.0,0.1,0.1,0.2,0.3,0.2,0.4,0.0,0.6,0.5,0.3,0.2,0.5,0.8,0.7,0.9,0.6,0.6,0.4,0.3,0.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"El euro (influencia en los precios, conversión, etc.)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.8,0.8,0.9,0.8,0.8,1.0,0.6,1.1,1.3,0.8,1.2,1.0,1.4,2.3,1.7,1.7,1.5,0.9,0.6,0.6,0.9,1.1,0.5,0.9,1.1,1.4,1.3,1.5,1.7,1.2,1.0,0.6,0.6,1.0,1.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Los problemas relacionados con el ocio de los jóvenes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.2,0.3,0.7,0.2,0.4,0.1,0.4,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.5,0.6,0.7,0.3,0.4,0.3,0.3,0.3,0.1,0.3,0.8,1.0,0.6,0.6,0.9,1.8,1.0,1.7,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
El desastre del Prestige,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.4,0.1,0.4,0.5,0.7,0.8,1.5,2.6,7.2,13.2,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Las crisis alimenticias(vacas locas, gripe aviar)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.0,1.0,3.4,15.6,8.6,20.2,1.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
La subida de los carburantes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.4,0.3,0.8,1.1,5.5,11.5,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
La sequía,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,13.1,9.1,6.5,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Las excarcelaciones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.5,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
La Ley del aborto,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ébola,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
(N),2479.0,2476.0,2476.0,2481.0,2477.0,2465.0,2480.0,2444.0,2471.0,2485.0,2471.0,2469.0,2470.0,2474.0,2480.0,2466.0,2472.0,2485.0,2475.0,2476.0,2481.0,2467.0,2482.0,2477.0,2472.0,2483.0,2480.0,2483.0,2484.0,2472.0,2484.0,2482.0,2484.0,2484.0,2474.0,2471.0,2480.0,2483.0,2859.0,2472.0,2465.0,2475.0,2472.0,2482.0,2463.0,2461.0,2471.0,2478.0,2480.0,2469.0,2475.0,2473.0,2472.0,2479.0,2483.0,2479.0,2487.0,2491.0,2477.0,2489.0,2490.0,2478.0,2475.0,2482.0,2482.0,2481.0,2481.0,2475.0,2490.0,2482.0,2488.0,2484.0,2481.0,2480.0,2468.0,2463.0,2472.0,2459.0,2474.0,2470.0,2477.0,2472.0,2462.0,2493.0,2481.0,2483.0,2484.0,2473.0,2455.0,2489.0,2489.0,2472.0,2481.0,2475.0,2481.0,2487.0,2482.0,2478.0,2490.0,2481.0,2482.0,2472.0,2485.0,2491.0,2485.0,2489.0,2487.0,2425.0,2494.0,2495.0,2477.0,2488.0,2490.0,2495.0,2458.0,2496.0,2494.0,2483.0,2487.0,2479.0,2496.0,2493.0,2494.0,2490.0,2489.0,2496.0,2490.0,2488.0,2473.0,2476.0,2497.0,2495.0,2494.0,2459.0,2488.0,2480.0,2480.0,2484.0,2489.0,2484.0,2482.0,2494.0,2496.0,2498.0,2498.0,2499.0,2498.0,2478.0,2496.0,2487.0,2485.0,2494.0,2493.0,2492.0,2498.0,2497.0,2484.0,2488.0,2494.0,2495.0,2498.0,2498.0,2485.0,2497.0,2501.0,2498.0,2496.0,2497.0,2492.0,2487.0,2494.0,2497.0,2496.0,2496.0,2491.0,2491.0,2496.0,2486.0,2481.0,2756.0,2481.0,2396.0,0.0
N.S.,0.7,0.6,0.7,0.8,0.4,0.5,0.5,0.7,0.8,1.0,0.8,0.6,0.5,0.6,0.4,0.4,0.5,0.6,0.6,0.4,0.6,0.4,0.4,0.2,0.4,0.3,0.6,0.5,0.4,1.1,0.8,0.9,0.6,0.9,0.5,1.1,0.9,1.2,1.1,0.7,1.3,1.0,1.1,1.3,1.3,0.9,1.1,1.2,0.9,1.3,1.1,1.9,1.4,1.2,1.9,1.1,1.0,1.0,1.0,1.6,1.1,1.7,1.4,1.7,2.5,2.3,1.9,2.1,1.4,1.6,2.3,1.9,2.4,3.2,2.4,3.2,2.8,3.2,3.4,3.0,3.2,3.1,4.0,3.1,3.6,3.6,5.7,5.5,3.8,4.7,4.0,3.5,5.0,4.5,4.2,5.2,3.7,4.8,4.9,4.4,4.7,5.3,4.5,4.5,4.4,3.9,4.2,3.9,5.2,5.1,3.8,7.2,6.7,4.7,5.0,5.6,4.8,6.2,6.2,5.5,6.3,4.3,4.2,6.5,6.4,7.5,5.0,6.8,6.2,6.5,6.2,5.3,5.9,6.5,5.4,5.3,5.1,5.0,6.2,5.7,6.5,7.1,5.8,6.3,5.9,7.4,6.2,5.4,6.5,6.0,4.7,7.5,5.3,5.2,5.5,5.0,5.6,4.4,1.3,5.5,5.6,8.2,5.2,4.5,2.3,3.5,4.7,2.6,2.9,3.2,4.1,2.6,3.3,1.9,2.0,3.1,1.2,8.7,2.9,0.8,7.8,1.8,0.0
N.C.,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.5,0.2,0.0,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.3,0.2,0.4,0.2,0.3,0.1,0.4,0.2,0.2,0.2,0.3,0.1,0.5,0.3,0.2,0.4,0.2,0.2,0.3,0.2,0.8,0.3,0.4,0.2,0.3,0.3,0.4,0.1,0.4,0.3,0.4,0.2,0.4,0.4,0.3,0.6,1.8,0.3,0.4,0.5,0.2,0.4,0.7,3.2,0.3,0.4,0.7,0.7,0.4,0.2,0.6,0.3,0.1,0.2,0.3,0.2,0.4,0.2,0.2,0.2,0.5,0.5,0.2,0.3,0.3,0.4,0.6,0.3,0.4,0.5,0.6,0.5,0.2,0.6,0.2,1.1,0.5,0.4,0.6,0.2,0.8,0.4,0.5,0.5,1.9,0.3,0.4,0.4,0.6,0.5,0.7,0.5,1.9,0.9,0.6,0.6,0.4,0.4,0.4,0.7,0.8,0.5,1.0,0.8,0.4,0.5,0.9,0.8,0.6,0.8,0.8,0.9,0.7,0.8,0.6,0.7,0.9,0.4,0.8,0.5,0.5,0.8,0.7,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.4,0.6,0.5,0.4,0.2,0.6,0.4,0.5,0.3,0.4,0.6,0.4,0.7,1.0,1.0,1.1,0.4,0.4,0.6,1.1,0.3,1.0,0.6,0.8,4.0,47.1,24.7,43.2,25.2,36.7,1.2,0.0
